x_mean,x_std,x_max,x_min,x_mad,y_mean,y_std,y_max,y_min,y_mad,z_mean,z_std,z_max,z_min,z_mad,activity
4.1632867,6.0424566,12.680544,-0.6946377,5.6781716,5.7432466,4.2409005,11.264028,0.95342433,3.6805203,5.2347536,4.4823203,10.882658,-0.08172209,3.7652695,Jogging
1.6753029,1.0154241,2.6423476,0.27240697,0.9352639,7.763598,2.959745,11.454713,4.2086873,2.460743,0.23154593,6.253861,9.00305,-5.134871,5.847669,Jogging
0.75365925,8.679552,13.021052,-5.7477865,8.178262,6.3743224,6.658229,15.785983,1.4165162,6.2744403,2.4516628,0.7461,3.1463003,1.4165162,0.6900975,Jogging
5.08493,5.3668585,11.073342,-1.9477097,4.6884265,4.254089,6.2758756,11.413852,-3.8681788,5.4148445,3.400547,2.6519332,7.0553403,0.84446156,2.436529,Jogging
3.2280223,2.6031854,6.2789803,-0.08172209,2.2064962,0.39499006,2.4937513,3.7864566,-2.1383946,2.2609777,7.9270425,9.063479,19.57244,-2.5333846,7.763598,Jogging
2.0657527,3.0435982,6.2789803,-0.8036005,2.808818,8.5944395,5.954143,16.780268,2.7921712,5.4572196,-5.87491,5.3311825,1.607201,-10.419566,4.988074,Jogging
4.658159,2.6919405,8.076866,1.4982382,2.2791383,4.022543,2.7399213,6.742072,0.27240697,2.5000904,3.6411731,2.4730175,6.0201936,0.23154591,2.2730846,Jogging
2.147475,6.2298098,9.888372,-5.366417,5.1605983,10.918979,3.032709,15.132206,8.117727,2.808818,4.671779,4.1499395,10.528529,1.4165162,3.9044998,Jogging
6.192718,10.959884,19.57244,-7.273266,8.977323,-2.1837957,0.6285397,-1.3075534,-2.7513103,0.58416164,-7.44579,1.6982824,-5.7477865,-9.765789,1.546666,Jogging
4.9941278,1.0993646,6.4015636,3.718355,0.93829083,8.707942,7.8763328,19.381754,0.61291564,7.115874,-2.578786,0.8869857,-1.4165162,-3.568531,0.7748464,Jogging
3.264343,11.686196,19.531578,-7.3958488,10.844823,5.543482,6.318549,10.61025,-3.3642259,5.9384713,9.674987,7.324458,19.531578,1.9885708,6.5710607,Jogging
4.4947147,6.2809253,12.762266,-2.4516625,5.511701,1.212211,4.4840536,6.932757,-4.0180025,3.813697,4.0906444,5.3907027,11.114203,-1.9885708,4.6823726,Jogging
-0.56297463,11.310245,15.28203,-10.378705,10.563336,9.602345,6.710755,19.000385,3.759216,6.2653604,4.126965,1.1366804,5.6660647,2.9556155,1.0260661,Jogging
